Date,Country,City,Street,Type,Subtype,Location
12 déc. 2025,FR,Wissous,,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.315229 48.725323)
7 déc. 2025,FR,Ballainvilliers,Route de Chasse,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.277891 48.670476)
7 déc. 2025,FR,La Ville-du-Bois,,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.27693 48.6705)
7 déc. 2025,FR,Ballainvilliers,Route de Chasse,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.283361 48.669079)
7 déc. 2025,FR,Les Ulis,,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.192235 48.675634)
7 déc. 2025,FR,Wissous,Chemin des Prés,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.324167 48.74902)
7 déc. 2025,FR,Wissous,Chemin des Prés,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.32418 48.749031)
7 déc. 2025,FR,Ballainvilliers,Route de Chasse,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.282417 48.669494)
7 déc. 2025,FR,Palaiseau,Rue 11 Novembre 1918,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.237162 48.710185)
7 déc. 2025,FR,Ballainvilliers,Rue de Saulxier,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.284466 48.682734)
7 déc. 2025,FR,Nozay,Route de Marcoussis,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.237023 48.648246)
6 déc. 2025,FR,Ballainvilliers,Rue de Saulxier,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.284226 48.682734)
4 déc. 2025,FR,Villejust,Rue des Pavillons,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.241366 48.682931)
4 déc. 2025,FR,Les Ulis,D446,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.194969 48.674816)
4 déc. 2025,FR,La Ville-du-Bois,Avenue de la Division Leclerc,HAZARD,HAZARD_WEATHER_FLOOD,Point(2.278243 48.666162)
