Date,Country,City,Street,Type,Subtype,Location
16 déc. 2025,FR,Athis-Mons,Rue Étienne Lebeau,ACCIDENT,ACCIDENT_MAJOR,Point(2.388667 48.708783)
16 déc. 2025,FR,null,A6b,ACCIDENT,ACCIDENT_MAJOR,Point(2.345271 48.7943)
16 déc. 2025,FR,null,null,ACCIDENT,ACCIDENT_MAJOR,Point(2.386172 48.64835)
16 déc. 2025,FR,Thiais,Esplanade Auguste Perret,ACCIDENT,ACCIDENT_MAJOR,Point(2.3687 48.763011)
16 déc. 2025,FR,Sainte-Geneviève-des-Bois,null,ACCIDENT,ACCIDENT_MAJOR,Point(2.341771 48.621287)
16 déc. 2025,FR,null,A86 - Intérieure,ACCIDENT,ACCIDENT_MAJOR,Point(2.381303 48.754372)
16 déc. 2025,FR,null,A6a,ACCIDENT,ACCIDENT_MAJOR,Point(2.344761 48.769217)
16 déc. 2025,FR,null,A6b,ACCIDENT,ACCIDENT_MAJOR,Point(2.33654 48.758037)
16 déc. 2025,FR,null,N104: Corbeil-Essonnes,ACCIDENT,ACCIDENT_MAJOR,Point(2.400579 48.627547)
16 déc. 2025,FR,null,N12,ACCIDENT,ACCIDENT_MAJOR,Point(2.102129 48.791435)
16 déc. 2025,FR,Clamart,Rue du Général Eisenhower,ACCIDENT,ACCIDENT_MAJOR,Point(2.235086 48.776592)
16 déc. 2025,FR,null,A86 - Extérieure,ACCIDENT,ACCIDENT_MAJOR,Point(2.229091 48.776098)
16 déc. 2025,FR,null,N12,ACCIDENT,ACCIDENT_MAJOR,Point(2.172504 48.781712)
16 déc. 2025,FR,Fresnes,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MAJOR,Point(2.322502 48.759772)
16 déc. 2025,FR,null,Sortie 28: Verrières-le-Buisson,ACCIDENT,ACCIDENT_MAJOR,Point(2.275223 48.760009)
16 déc. 2025,FR,null,A6b,ACCIDENT,ACCIDENT_MAJOR,Point(2.341276 48.762474)
16 déc. 2025,FR,Athis-Mons,Avenue François Mitterrand,ACCIDENT,ACCIDENT_MAJOR,Point(2.371947 48.700248)
16 déc. 2025,FR,null,A86: Créteil,ACCIDENT,ACCIDENT_MAJOR,Point(2.221863 48.779362)
15 déc. 2025,FR,Massy,null,ACCIDENT,ACCIDENT_MAJOR,Point(2.241895 48.729813)
15 déc. 2025,FR,null,Sortie 2: Versailles-Centre,ACCIDENT,ACCIDENT_MAJOR,Point(2.156406 48.784607)
15 déc. 2025,FR,Orsay,Rue Aristide Briand,ACCIDENT,ACCIDENT_MAJOR,Point(2.194539 48.706942)
15 déc. 2025,FR,null,A86 - Extérieure,ACCIDENT,ACCIDENT_MAJOR,Point(2.225412 48.776803)
15 déc. 2025,FR,Châtenay-Malabry,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MAJOR,Point(2.24533 48.771914)
15 déc. 2025,FR,null,N186b,ACCIDENT,ACCIDENT_MAJOR,Point(2.376375 48.753526)
15 déc. 2025,FR,null,D218: Villebon-sur-Yvette,ACCIDENT,ACCIDENT_MAJOR,Point(2.206017 48.684277)
15 déc. 2025,FR,null,N118,ACCIDENT,ACCIDENT_MAJOR,Point(2.190535 48.688038)
15 déc. 2025,FR,Gometz-la-Ville,Rue de Chartres,ACCIDENT,ACCIDENT_MAJOR,Point(2.125723 48.672525)
15 déc. 2025,FR,null,N186,ACCIDENT,ACCIDENT_MAJOR,Point(2.357486 48.753776)
15 déc. 2025,FR,Villemoisson-sur-Orge,Route de Corbeil,ACCIDENT,ACCIDENT_MAJOR,Point(2.337431 48.665749)
15 déc. 2025,FR,null,A86 - Intérieure,ACCIDENT,ACCIDENT_MAJOR,Point(2.279505 48.760153)
15 déc. 2025,FR,Châtenay-Malabry,D986,ACCIDENT,ACCIDENT_MAJOR,Point(2.244836 48.77198)
15 déc. 2025,FR,Clamart,Rue du Parc,ACCIDENT,ACCIDENT_MAJOR,Point(2.260818 48.79185)
14 déc. 2025,FR,null,N20,ACCIDENT,ACCIDENT_MAJOR,Point(2.266028 48.63464)
14 déc. 2025,FR,null,N104,ACCIDENT,ACCIDENT_MAJOR,Point(2.361455 48.625547)
14 déc. 2025,FR,Saint-Rémy-lès-Chevreuse,Rue de Vaugien,ACCIDENT,ACCIDENT_MAJOR,Point(2.088845 48.704581)
14 déc. 2025,FR,null,A6,ACCIDENT,ACCIDENT_MAJOR,Point(2.350282 48.669524)
14 déc. 2025,FR,null,D444,ACCIDENT,ACCIDENT_MAJOR,Point(2.22405 48.742125)
14 déc. 2025,FR,Montlhéry,Route d'Orléans,ACCIDENT,ACCIDENT_MAJOR,Point(2.267416 48.637891)
14 déc. 2025,FR,null,N20,ACCIDENT,ACCIDENT_MAJOR,Point(2.256888 48.616881)
14 déc. 2025,FR,Savigny-sur-Orge,Boulevard Aristide Briand,ACCIDENT,ACCIDENT_MAJOR,Point(2.342842 48.681188)
14 déc. 2025,FR,null,A6,ACCIDENT,ACCIDENT_MAJOR,Point(2.346239 48.671367)
13 déc. 2025,FR,null,A86 - Extérieure,ACCIDENT,ACCIDENT_MAJOR,Point(2.313982 48.762124)
13 déc. 2025,FR,null,D591,ACCIDENT,ACCIDENT_MAJOR,Point(2.263964 48.711844)
13 déc. 2025,FR,null,A6b,ACCIDENT,ACCIDENT_MAJOR,Point(2.328422 48.749264)
13 déc. 2025,FR,null,D257,ACCIDENT,ACCIDENT_MAJOR,Point(2.337773 48.676967)
13 déc. 2025,FR,null,A10,ACCIDENT,ACCIDENT_MAJOR,Point(2.232709 48.694922)
13 déc. 2025,FR,null,A10,ACCIDENT,ACCIDENT_MAJOR,Point(2.28829 48.714154)
13 déc. 2025,FR,Sainte-Geneviève-des-Bois,D117,ACCIDENT,ACCIDENT_MAJOR,Point(2.340927 48.625401)
13 déc. 2025,FR,Fresnes,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MAJOR,Point(2.321029 48.760255)
13 déc. 2025,FR,Gif-sur-Yvette,Rocade de Frileuse,ACCIDENT,ACCIDENT_MAJOR,Point(2.125651 48.689445)
13 déc. 2025,FR,null,A10,ACCIDENT,ACCIDENT_MAJOR,Point(2.320734 48.741677)
