Date,Country,City,Street,Type,Subtype,Location
31 déc. 2023,FR,Linas,,ACCIDENT,ACCIDENT_MINOR,Point(2.257002 48.626856)
29 déc. 2023,FR,Ballainvilliers,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.278122 48.665514)
28 déc. 2023,FR,Palaiseau,Avenue du Général de Gaulle,ACCIDENT,ACCIDENT_MINOR,Point(2.251923 48.716867)
28 déc. 2023,FR,La Ville-du-Bois,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.276826 48.662458)
27 déc. 2023,FR,Longjumeau,Rue du Canal,ACCIDENT,ACCIDENT_MINOR,Point(2.288692 48.694519)
23 déc. 2023,FR,Palaiseau,Avenue des Cosmonautes,ACCIDENT,ACCIDENT_MINOR,Point(2.260288 48.717432)
22 déc. 2023,FR,Vauhallan,Chemin du Picotois,ACCIDENT,ACCIDENT_MINOR,Point(2.190826 48.739117)
22 déc. 2023,FR,La Ville-du-Bois,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.276448 48.661483)
22 déc. 2023,FR,Saclay,Rue du Grand Chemin,ACCIDENT,ACCIDENT_MINOR,Point(2.171242 48.729803)
22 déc. 2023,FR,Ballainvilliers,Route de Chasse,ACCIDENT,ACCIDENT_MINOR,Point(2.277897 48.670476)
22 déc. 2023,FR,Verrières-le-Buisson,Rue Marius Hue,ACCIDENT,ACCIDENT_MINOR,Point(2.281764 48.744549)
22 déc. 2023,FR,Longjumeau,Avenue de l'Abbé Pierre,ACCIDENT,ACCIDENT_MINOR,Point(2.301672 48.698053)
22 déc. 2023,FR,Vauhallan,Rue de Favreuse,ACCIDENT,ACCIDENT_MINOR,Point(2.190179 48.739052)
22 déc. 2023,FR,Verrières-le-Buisson,Avenue Georges Pompidou,ACCIDENT,ACCIDENT_MINOR,Point(2.275346 48.753973)
22 déc. 2023,FR,Igny,Rue Maryse Bastié,ACCIDENT,ACCIDENT_MINOR,Point(2.22973 48.734494)
22 déc. 2023,FR,La Ville-du-Bois,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.27814 48.665865)
21 déc. 2023,FR,Linas,Chemin du Vieux Pavé de Bruyères le Châtel,ACCIDENT,ACCIDENT_MINOR,Point(2.257075 48.617407)
21 déc. 2023,FR,Linas,Rue de Leuville,ACCIDENT,ACCIDENT_MINOR,Point(2.261568 48.627253)
21 déc. 2023,FR,Linas,,ACCIDENT,ACCIDENT_MINOR,Point(2.261443 48.627236)
20 déc. 2023,FR,Les Ulis,D446,ACCIDENT,ACCIDENT_MINOR,Point(2.195231 48.674141)
20 déc. 2023,FR,Longjumeau,Avenue du Général de Gaulle,ACCIDENT,ACCIDENT_MINOR,Point(2.298935 48.69622)
